Denominacao - GBS,,n_bag,,nome,TA (teor de amilose) Goiania 2004,TA Goiania 2005,TA Uruguaiana,TA Boa Vista,TA Pelotas 2005,TA Vilhena
245,TERRAS ALTAS,CNA10476,BGA 10476,B 8503E-TB-19-B-3,26,25,24,26,28,25
246,TERRAS ALTAS,CNA10503,BGA 10503,YN 1905 - UUL 62,23,26,,28,27,26
247,TERRAS ALTAS,CNA10506,BGA 10506,YN 1906 - UUL 65,27,28,26,28,27,27
248,TERRAS ALTAS,CNA10514,BGA 10514,KATAKTARA,29,27,,29,,
249,TERRAS ALTAS,CNA10527,BGA 10527,BR 4742-B-19-23,27,27,25,26,22,25
250,TERRAS ALTAS,CNA10533,BGA 10533,IR 65907-188-1-B,20,19,18,20,19,20
251,TERRAS ALTAS,IAC201,BGA 10618,IAC 201,25,24,21,23,21,26
252,TERRAS ALTAS,IAPAR62,BGA 10671,IAPAR 62,26,25,23,24,22,25
259,TERRAS ALTAS,IAPAR63,BGA 10679,IAPAR 63,22,23,23,25,22,26
262,TERRAS ALTAS,IAC202,BGA 10682,IAC 202,27,24,23,24,27,27
33,TERRAS ALTAS,CNA1118,BGA 1118,EEPG-1-269,22,24,23,26,25,24
40,TERRAS ALTAS,CNA1347,BGA 1347,IPEACO-SL 2270,23,24,22,22,,
41,TERRAS ALTAS,CNA1350,BGA 1350,IPEACO-SL 1970,27,24,23,21,23,27
56,TERRAS ALTAS,IAC165,BGA 2075,IAC 165,27,25,,24,25,29
57,TERRAS ALTAS,CNA2123,BGA 2123,JAPONES X PRAIANA,24,24,21,23,23,23
67,TERRAS ALTAS,CNA2524,BGA 2524,MOROBEREKAN,23,26,,25,25,26
71,TERRAS ALTAS,CNA3005,BGA 3005,SONA,30,28,25,29,,
75,TERRAS ALTAS,CNA3281,BGA 3281,IRAT 177,15,17,17,16,16,20
76,TERRAS ALTAS,CNA3287,BGA 3287,IREM 123-2-1,22,26,23,25,23,29
77,TERRAS ALTAS,CNA3288,BGA 3288,IREM 293-B,25,26,,23,21,25
78,TERRAS ALTAS,CNA3289,BGA 3289,IREM 247,23,24,23,24,24,25
79,TERRAS ALTAS,CNA3362,BGA 3362,IRAT 142,22,19,20,18,20,21
80,TERRAS ALTAS,CNA3372,BGA 3372,IRAT 10,27,24,23,24,24,27
